Id1;Act1A1;Act1A2;Act2A1;Act2A2;ReasA1;ReasA2;REA1;REA2;NumTA1;NumTA2;T1A1;T1A2;T1SA1;T1SA2;T1TA1;T1TA2;T1TyA1;T1TyA2;T1SubjA1;T1SubjA2;T2A1;T2A2;T2SA1;T2SA2;T2TA1;T2TA2;T2TyA1;T2TyA2;T2SubjA1;T2SubjA2;T3A1;T3A2;T3SA1;T3SA2;T3TA1;T3TA2;T3TyA1;T3TyA2;T3SubjA1;T3SubjA2
392522;deliver;deliver;{};{};other;personal;postponed reply;ignore;1;0;tfig weather;{};2;;2;;informational;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
33857;request;deliver;amend;{};administrative procedure;administrative procedure;immediate reply;immediate reply;2;1;sending invoice;acknowledge receipt;4;1;4;2;procedural;procedural;collaboration;acknowledgement;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41674;greet;remind;{};{};other;personal;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
338659;request;request;{};{};personal;personal;postponed reply;postponed reply;1;1;answer if a decision has been made on a digital camera.;make a decision on a camera;1;1;2;2;informational;informational;decision;information;{};{};;;;;;;{};{};;;;;;;;;;
41769;deliver;deliver;{};{};internal collaboration;internal collaboration;immediate reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
140680;request;propose;request;{};administrative procedure;internal collaboration;immediate reply;accountable non-answer;3;1;"please provide a short description of the task. for example: ""provide an answer to the question when was einstein born";read the loi form;3;1;3;;physical;physical;decision;instructions;"please provide a short description of the task. for example: ""provide an answer to the question when was einstein born";{};3;;3;;physical;;acknowledgement;{};"please provide a short description of the task. for example: ""provide an answer to the question when was einstein born";{};3;;3;;procedural;;service;{}
9595;request;request;{};{};internal collaboration;employment arrangements;postponed reply;immediate reply;2;1;review;do you have job posting;2;2;2;3;informational;informational;information;information;make changes;{};3;;3;;informational;;information;{};{};{};;;;;;;{};{}
94279;propose;deliver;amend;greet;internal collaboration;internal collaboration;immediate reply;postponed reply;1;0;weather report;{};4;;4;;;;announcement;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41258;request;request;{};{};personal;personal;postponed reply;accountable non-answer;1;1;please put this on my calendar.;put vacation info on calender;1;2;2;4;procedural;procedural;service;other;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41561;deliver;commit;{};{};internal collaboration;logistic arrangements;accountable non-answer;postponed reply;0;1;{};training presentation;;2;;2;;informational;{};announcement;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
141279;amend;amend;{};{};administrative procedure;other;immediate reply;accountable non-answer;1;0;change registration to 1 seat;{};4;;4;;procedural;;reservation;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
260551;greet;propose;deliver;remind;personal;administrative procedure;accountable non-answer;immediate reply;0;2;{};deal making;;4;;4;;procedural;{};decision;{};image sending;;2;;2;;informational;{};service;{};{};;;;;;;{};{}
41601;greet;deliver;{};{};personal;logistic arrangements;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
307287;request;request;{};{};internal collaboration;administrative procedure;immediate reply;immediate reply;1;1;forward attatchments;forward;1;1;3;1;procedural;physical;collaboration;product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
173607;request;request;propose;{};external collaboration;legal procedure;postponed reply;immediate reply;1;1;have a look at the latest diagram and discuss this at your convenience.;he is asking a site structure diagram discussion;1;2;2;3;informational;procedural;decision;other;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
259566;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
143179;deliver;deliver;{};{};internal collaboration;external collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
173603;deliver;deliver;{};request;internal collaboration;administrative procedure;immediate reply;postponed reply;1;2;prepare a report;review the proposal together;1;2;3;2;physical;procedural;product;service;{};choose words carefully since litigation is possible;;3;;2;;procedural;{};{};{};{};;;;;;;{};{}
11400;request;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;1;0;{};{};1;;4;;informational;;information;{};{};{};;;;;;;{};{};;;;;;;;;;
143174;request;deliver;{};propose;internal collaboration;other;postponed reply;postponed reply;1;1;cpcn public information;cpcn public information;1;2;3;2;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
94427;deliver;greet;greet;{};internal collaboration;other;postponed reply;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
175086;request;propose;{};{};administrative procedure;administrative procedure;accountable non-answer;accountable non-answer;1;1;prepare for auction;prepare for auction;4;1;4;3;procedural;procedural;event;product;{};{};;;;;;;{};{};;;;;;;;;;
143171;request;request;{};deliver;administrative procedure;internal collaboration;immediate reply;immediate reply;1;1;answer if it is confidential;"answer the question "" is the draft of the ppa submitted by vepco confidential?""";1;1;3;4;procedural;informational;instructions;information;{};{};;;;;;;{};{};;;;;;;;;;
1197;deliver;deliver;{};greet;internal collaboration;internal collaboration;accountable non-answer;immediate reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
321064;deliver;request;deliver;{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};inform of administrative situation;;1;;3;;informational;{};information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
321065;greet;amend;{};amend;internal collaboration;other;accountable non-answer;postponed reply;0;1;{};campaign update;;2;;2;;informational;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
260641;deliver;amend;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;2;{};change the right price which wrongly entered;;2;;2;;informational;{};information;{};thanks;;1;;1;;procedural;{};information;{};{};;;;;;;{};{}
143779;deliver;deliver;{};{};external collaboration;internal collaboration;accountable non-answer;accountable non-answer;1;0;let me know if you have any comments;{};1;;4;;informational;;decision;{};{};{};;;;;;;{};{};;;;;;;;;;
140611;request;request;{};commit;internal collaboration;external collaboration;immediate reply;postponed reply;1;1;request for info;for someone to look at documentation in relation to the enron/delta turbine acquisition.;2;2;4;2;informational;informational;information;decision;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
260092;commit;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
78061;deliver;request;{};{};employment arrangements;employment arrangements;postponed reply;accountable non-answer;1;1;resume sending;send resume to new division;3;3;3;;procedural;physical;decision;service;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
248903;deliver;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
33592;deliver;deliver;{};{};internal collaboration;administrative procedure;immediate reply;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
384573;deliver;deliver;{};{};logistic arrangements;administrative procedure;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
188130;remind;remind;{};{};internal collaboration;internal collaboration;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
260600;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
306856;deliver;commit;propose;{};administrative procedure;administrative procedure;immediate reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
9229;deliver;deliver;{};{};administrative procedure;internal collaboration;postponed reply;ignore;1;0;which room do you want;{};4;;2;;informational;;meeting;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
337850;deliver;deliver;{};{};internal collaboration;administrative procedure;postponed reply;postponed reply;1;1;provide answer 'should we release this to ena';should we release this info to ena;2;1;4;3;procedural;informational;collaboration;{};{};{};;;;;;;{};{};;;;;;;;;;
382734;deliver;deliver;{};{};employment arrangements;administrative procedure;ignore;accountable non-answer;0;1;{};deliver information;;2;;2;;informational;{};decision;;;;;;;;;;;;;;;;;;;;
109990;deliver;greet;greet;{};personal;personal;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
173408;request;propose;{};{};personal;external collaboration;postponed reply;postponed reply;1;1;get together for lunch on the 6th of sept;i would like to get together for lunch on the 6th of sept.;1;3;4;2;procedural;physical;event;reservation;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
337998;commit;deliver;{};{};personal;personal;accountable non-answer;accountable non-answer;0;1;{};get cheeseburger;;3;;3;;physical;{};product;{};{};;;;;;;{};{};;;;;;;;;;
77566;request;request;{};{};administrative procedure;logistic arrangements;accountable non-answer;accountable non-answer;1;1;please print.;please print;1;2;2;2;procedural;physical;service;product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
109997;greet;deliver;{};{};personal;personal;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
109997;greet;deliver;{};{};personal;personal;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
109997;greet;deliver;{};{};personal;personal;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
249739;greet;deliver;request;{};personal;personal;postponed reply;accountable non-answer;1;0;answer if baby stuff has been sold.;{};2;;2;;informational;;product;{};{};{};;;;;;;{};{};;;;;;;;;;
70562;deliver;commit;{};request;internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
210300;deliver;deliver;{};{};internal collaboration;internal collaboration;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
77716;deliver;amend;{};commit;external collaboration;employment arrangements;accountable non-answer;postponed reply;0;2;{};downsizing and moving office;;3;;3;;procedural;{};decision;{};hiring if staff are not moving to their new location;;3;;4;;procedural;{};decision;{};{};;;;;;;{};{}
210530;deliver;remind;{};remind;internal collaboration;administrative procedure;ignore;immediate reply;0;2;{};iep responds to burton/dunn investigation on market manipulation;;3;;3;;procedural;{};other;{};iep responds to burton/dunn investigation on market manipulation;;3;;3;;procedural;{};other;{};{};;;;;;;{};{}
307218;deliver;greet;{};commit;employment arrangements;employment arrangements;immediate reply;postponed reply;1;1;hire applicant;start and end date of an internship.;1;2;3;3;informational;procedural;decision;other;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
105691;deliver;remind;{};{};administrative procedure;administrative procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
210105;request;request;{};{};internal collaboration;administrative procedure;postponed reply;immediate reply;1;1;if vicki sharp would give jeff the number for the 2:30 call;need a call-in number for today's teleconference at 2:30;3;1;3;4;procedural;informational;service;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
384239;propose;deliver;remind;{};personal;travel planning;postponed reply;postponed reply;1;0;bed and breakfast reservation;{};2;;3;;informational;;reservation;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
142573;deliver;deliver;deliver;{};internal collaboration;personal;accountable non-answer;accountable non-answer;0;1;{};read the letter;;1;;1;;physical;{};product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
1473;greet;greet;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
69701;deliver;commit;{};commit;internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};completion of review;;1;;3;;physical;{};acknowledgement;{};{};;;;;;;{};{};;;;;;;;;;
338695;deliver;deliver;{};request;external collaboration;internal collaboration;accountable non-answer;postponed reply;0;1;{};answer question;;3;;3;;informational;{};information;{};{};;;;;;;{};{};;;;;;;;;;
1477;request;request;{};{};internal collaboration;administrative procedure;immediate reply;accountable non-answer;1;1;advise regarding enron's credit worthiness;{};2;1;4;1;informational;procedural;information;instructions;{};{};;;;;;;{};{};;;;;;;;;;
1474;request;request;{};deliver;external collaboration;internal collaboration;immediate reply;accountable non-answer;1;2;please review the attached and add any details you feel are necessary.;review information;;2;3;2;informational;informational;information;information;{};communicate any changes;;1;;3;;informational;{};information;;;;;;;;;;
209561;deliver;deliver;{};{};internal collaboration;administrative procedure;immediate reply;accountable non-answer;1;0;if i missed anyone please forward along;{};1;;3;;informational;;service;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
143512;deliver;commit;commit;{};external collaboration;external collaboration;accountable non-answer;ignore;1;1;answer call in the afternoon.;understand the timeline of tasks for this person;2;1;2;3;physical;informational;service;meeting;{};{};;;;;;;{};{};;;;;;;;;;
338752;remind;deliver;{};{};administrative procedure;travel planning;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
1479;commit;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;1;0;be at eb for breakfast;{};4;;4;;physical;;meeting;{};{};{};;;;;;;{};{};;;;;;;;;;
392098;deliver;remind;{};propose;other;external collaboration;ignore;accountable non-answer;0;1;{};{};;3;;3;;informational;{};announcement;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
210692;propose;deliver;{};{};administrative procedure;administrative procedure;accountable non-answer;accountable non-answer;1;1;conference call agenda on tuesday;read the edits;3;1;3;1;informational;informational;meeting;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
142844;deliver;request;{};{};internal collaboration;internal collaboration;immediate reply;immediate reply;1;1;receive attachments;did you get these?;1;1;2;3;informational;informational;information;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
1301;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;1;0;discuss minutes of last meeting;{};2;;2;;informational;;information;{};{};{};;;;;;;{};{};;;;;;;;;;
49670;propose;propose;{};{};administrative procedure;internal collaboration;accountable non-answer;postponed reply;1;1;decide whether to call a transelect before ng meeting.;meeting and discussion;2;3;3;4;procedural;procedural;decision;meeting;{};{};;;;;;;{};{};;;;;;;;;;
8387;deliver;request;{};{};personal;personal;postponed reply;postponed reply;0;1;{};plan trip;;4;;3;;procedural;{};other;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
103785;greet;deliver;{};{};other;personal;immediate reply;accountable non-answer;1;0;what day is her birthday?;{};1;;1;;informational;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41262;remind;deliver;{};{};personal;personal;accountable non-answer;accountable non-answer;0;1;{};contact my staff;;1;;4;;physical;{};information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
384506;propose;commit;{};{};personal;internal collaboration;postponed reply;accountable non-answer;1;0;account for bid;{};2;;2;;physical;;other;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41554;deliver;greet;{};{};internal collaboration;other;ignore;ignore;0;there is nothing in the message or subject that lets me know;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
211260;deliver;deliver;remind;{};legal procedure;internal collaboration;accountable non-answer;accountable non-answer;0;1;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
305432;deliver;propose;{};{};other;internal collaboration;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
307413;request;request;{};{};employment arrangements;employment arrangements;immediate reply;postponed reply;1;1;reduce the number of applicants;reduce the number of potential candidates to 3;1;1;2;4;procedural;procedural;decision;decision;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
8544;request;propose;{};{};internal collaboration;external collaboration;immediate reply;immediate reply;1;1;reply if the sender can have a meeting on friday.;meeting request;2;3;3;3;informational;physical;meeting;meeting;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
49637;deliver;amend;{};{};internal collaboration;employment arrangements;accountable non-answer;accountable non-answer;0;1;{};list of peoples for issues;;3;;3;;informational;{};information;{};{};;;;;;;{};{};;;;;;;;;;
9160;request;deliver;{};{};internal collaboration;internal collaboration;postponed reply;postponed reply;2;1;come in on thursday morning;provide answers;3;2;3;3;physical;informational;meeting;information;tell who you'd like to meet with;{};1;;3;;informational;;decision;{};{};{};;;;;;;{};{}
105839;request;request;propose;{};internal collaboration;internal collaboration;accountable non-answer;postponed reply;1;1;find out information (prices) from a corporate search company;find out about rates;1;1;1;2;informational;informational;collaboration;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
249277;request;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;1;0;forward for class registration;{};3;;3;;physical;;service;{};{};{};;;;;;;{};{};;;;;;;;;;
338534;propose;deliver;commit;{};other;external collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
70115;deliver;amend;{};{};internal collaboration;administrative procedure;accountable non-answer;immediate reply;0;1;{};explain one line item;;1;;3;;informational;{};information;{};{};;;;;;;{};{};;;;;;;;;;
322170;request;request;deliver;{};internal collaboration;internal collaboration;accountable non-answer;postponed reply;1;1;"j.kaminski is  asking a.roberts to have a look at this link - ""http://www.syncrasy.com/vince""";please take a look;1;1;2;2;physical;procedural;information;service;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
108221;request;propose;{};{};personal;internal collaboration;postponed reply;accountable non-answer;1;0;reply required to the sender since the email address has changed;{};1;;1;;procedural;;other;{};;;;;;;;;;;;;;;;;;;;
103820;deliver;deliver;request;{};administrative procedure;internal collaboration;immediate reply;immediate reply;1;1;let me know how long it will take to get back to me;send me information;1;1;4;4;informational;informational;information;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
70113;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
337874;deliver;commit;{};request;internal collaboration;internal collaboration;accountable non-answer;postponed reply;1;2;if question respond;sales activities;1;3;2;3;informational;informational;information;acknowledgement;{};call for questions;;3;;3;;informational;{};service;;;;;;;;;;
108341;greet;greet;deliver;{};administrative procedure;administrative procedure;ignore;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
30936;deliver;deliver;{};greet;administrative procedure;internal collaboration;accountable non-answer;postponed reply;1;0;be prepared for big meetings;{};3;;4;;procedural;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
102903;deliver;deliver;{};{};logistic arrangements;internal collaboration;postponed reply;accountable non-answer;1;0;documents;{};2;;2;;informational;;information;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
31041;greet;request;request;{};administrative procedure;administrative procedure;immediate reply;postponed reply;1;1;inform status regarding credit suisse first boston equity swap basket.;advise;2;1;2;3;informational;informational;instructions;decision;{};{};;;;;;;{};{};;;;;;;;;;
143356;request;request;{};{};other;internal collaboration;immediate reply;postponed reply;1;1;{};can anyone help me with this?;4;1;1;2;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
249731;amend;propose;{};deliver;legal procedure;internal collaboration;immediate reply;postponed reply;1;0;crude oil purchase agreement details;{};3;;3;;procedural;;other;{};{};{};;;;;;;{};{};;;;;;;;;;
9565;deliver;remind;{};{};personal;travel planning;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
73297;deliver;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
28961;amend;remind;{};{};legal procedure;external collaboration;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
28962;deliver;amend;{};{};internal collaboration;internal collaboration;accountable non-answer;immediate reply;0;1;{};bank of america isda master agreement;;3;;3;;physical;{};collaboration;{};{};;;;;;;{};{};;;;;;;;;;
2011;commit;request;propose;{};internal collaboration;internal collaboration;immediate reply;postponed reply;1;1;{};could we send to arclight the models for transpecos and sun devil that reflect what we had in today s presentation?;;1;;3;informational;procedural;instructions;information;{};{};;;;;;;{};{};;;;;;;;;;
337936;propose;deliver;deliver;{};internal collaboration;logistic arrangements;postponed reply;accountable non-answer;1;1;send comments/questions;any questions comments;2;1;3;2;informational;informational;collaboration;information;{};{};;;;;;;{};{};;;;;;;;;;
934;deliver;deliver;{};{};internal collaboration;administrative procedure;accountable non-answer;ignore;1;0;deliver information regarding project status;{};1;;2;;informational;;information;{};{};{};;;;;;;{};{};;;;;;;;;;
338325;deliver;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
305195;deliver;greet;{};propose;internal collaboration;employment arrangements;ignore;postponed reply;0;1;{};respond to methane proposal;;4;;2;;informational;{};collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
155986;deliver;deliver;{};{};internal collaboration;internal collaboration;postponed reply;accountable non-answer;1;0;distribute this communication monday afternoon.;{};3;;4;;physical;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
259725;deliver;request;{};request;internal collaboration;administrative procedure;postponed reply;immediate reply;0;2;{};new ctpy request -geir s transmission deal;;3;;3;;procedural;{};acknowledgement;{};new ctpy request -geir s transmission deal;;3;;3;;procedural;{};acknowledgement;{};{};;;;;;;{};{}
305391;propose;request;request;request;personal;other;immediate reply;immediate reply;3;2;to send the considered final version to be double checked.;my part was not changed;2;3;2;3;physical;informational;decision;other;to send personal comments.;my part was not changed;2;3;2;3;informational;informational;information;other;to proceed with the matter already set up.;{};2;;2;;procedural;;product;{}
33406;deliver;greet;{};{};personal;personal;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
103877;deliver;deliver;{};{};internal collaboration;internal collaboration;accountable non-answer;immediate reply;1;1;sender informs recipient document regarding ipg widely distributed;amend within gcp;;1;;3;;procedural;{};collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
41005;refuse;refuse;{};{};other;personal;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
49822;deliver;deliver;remind;{};personal;other;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
338970;deliver;deliver;{};{};administrative procedure;internal collaboration;accountable non-answer;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
69802;request;request;{};{};internal collaboration;administrative procedure;immediate reply;immediate reply;1;1;information request;confirm if don't give lock boxes;1;1;3;3;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
28981;amend;deliver;{};{};legal procedure;internal collaboration;accountable non-answer;accountable non-answer;1;1;{};inform of document receipt and the nature of it;1;1;1;2;procedural;informational;decision;information;{};{};;;;;;;{};{};;;;;;;;;;
142289;propose;deliver;propose;{};administrative procedure;internal collaboration;immediate reply;postponed reply;3;1;when will i get final enron input;attached is a revised version;3;1;3;3;informational;informational;instructions;collaboration;when will i get final enron input;{};3;;3;;informational;;instructions;{};when will i get final enron input;{};3;;3;;informational;;instructions;{}
49982;commit;request;{};{};internal collaboration;internal collaboration;accountable non-answer;accountable non-answer;1;1;collaborate with susan to make sure coverage is appropriate.;get together and verify coverage;2;4;2;3;procedural;procedural;collaboration;meeting;{};{};;;;;;;{};{};;;;;;;;;;
117660;amend;amend;{};{};administrative procedure;legal procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
49456;deliver;deliver;{};greet;personal;personal;accountable non-answer;accountable non-answer;0;1;{};acquire the address information.;;4;;2;;procedural;{};other;{};communicate emotion;;1;;1;;informational;{};acknowledgement;;;;;;;;;;
383709;request;request;{};{};internal collaboration;internal collaboration;accountable non-answer;postponed reply;{};1;{};can you re-map hpl meter?;;1;;3;;procedural;{};service;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
337582;deliver;deliver;{};{};internal collaboration;administrative procedure;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};;;;;;;;;;
78240;request;request;{};{};personal;personal;immediate reply;immediate reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
33777;deliver;deliver;{};{};internal collaboration;legal procedure;accountable non-answer;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
78329;request;request;{};{};internal collaboration;administrative procedure;postponed reply;accountable non-answer;1;1;put this on the calendar.;put event on calendar.;1;1;2;4;procedural;procedural;meeting;event;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
181374;request;propose;{};{};internal collaboration;internal collaboration;immediate reply;postponed reply;1;0;review the revision;{};1;;3;;informational;;service;{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
249854;request;request;{};{};internal collaboration;internal collaboration;immediate reply;immediate reply;1;1;does this response include our comments;answer whether response includes comments.;1;1;3;3;informational;informational;information;information;{};{};;;;;;;{};{};;;;;;;;;;
181377;deliver;deliver;{};{};internal collaboration;legal procedure;postponed reply;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
180483;propose;propose;{};{};{};internal collaboration;{};immediate reply;1;1;let her know if he and jean can meet with her to review the confirm;reply to the email;1;1;2;1;procedural;informational;meeting;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
182017;remind;remind;{};propose;{};administrative procedure;{};accountable non-answer;1;1;attend the conference call;"make a possible list of ""actions"" for a third party.";1;1;4;2;physical;informational;meeting;information;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
105473;remind;deliver;{};{};other;internal collaboration;ignore;accountable non-answer;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
306393;amend;remind;{};{};other;administrative procedure;accountable non-answer;accountable non-answer;0;1;{};go to meeting;;2;;3;;physical;{};meeting;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
383904;deliver;remind;{};{};internal collaboration;internal collaboration;accountable non-answer;ignore;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
259580;propose;deliver;commit;{};personal;personal;immediate reply;immediate reply;1;1;first person to express interest;i'll take the tickets;4;4;4;4;physical;physical;event;product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
325393;propose;deliver;{};{};personal;travel planning;accountable non-answer;accountable non-answer;1;1;{};determine information regarding weather;4;3;4;3;informational;informational;information;acknowledgement;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
103899;request;commit;{};{};logistic arrangements;personal;postponed reply;accountable non-answer;1;1;calendar review;print out calendar and leave in box;1;2;1;3;procedural;physical;service;product;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
32825;request;request;{};{};legal procedure;legal procedure;immediate reply;immediate reply;1;1;any recommendations on lawers;recommend lawyer;2;3;4;3;informational;procedural;information;collaboration;{};{};;;;;;;{};{};{};{};;;;;;;{};{}
8974;deliver;deliver;{};{};internal collaboration;internal collaboration;postponed reply;postponed reply;0;0;{};{};;;;;;;{};{};{};{};;;;;;;{};{};{};{};;;;;;;{};{}
